"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"5013","GTF2H4",155,139,168,132,189,97
"5014","GTF2H5",191,179,195,118,167,127
"5015","GTF2I",1533,1604,1768,1641,2178,1506
"5016","GTF2IRD1",265,317,275,248,408,236
"5017","GTF3C1",1121,931,1013,893,1949,1344
"5018","GTF3C2",568,617,615,578,654,463
"5019","GTF3C3",165,146,153,134,265,177
"5020","GTF3C4",174,238,172,180,266,219
"5021","GTF3C5",101,120,133,125,182,87
"5022","GTF3C6",135,172,159,132,178,143
"5023","GTL3",142,195,187,91,117,118
"5024","GTLF3B",297,160,303,196,267,192
"5025","GTPBP1",226,280,253,177,307,208
"5026","GTPBP10",145,170,183,121,125,115
"5027","GTPBP2",233,223,238,181,276,191
"5028","GTPBP3",78,86,112,72,79,51
"5029","GTPBP4",189,225,124,92,237,206
"5030","GTPBP5",227,249,266,179,195,168
"5031","GTPBP6",119,169,129,89,171,100
"5032","GTPBP8",45,58,62,33,46,35
"5033","GTSE1",21,4,35,21,23,9
"5034","GTSF1",0,0,0,0,1,0
"5035","GUCA1A",0,0,0,0,0,0
"5036","GUCA1B",0,1,0,0,0,0
"5037","GUCA2A",0,1,0,0,0,0
"5038","GUCA2B",0,0,1,0,0,0
"5039","GUCY1A2",0,1,4,1,9,1
"5040","GUCY1A3",113,172,118,146,211,146
"5041","GUCY1B2",490,182,619,562,514,259
"5042","GUCY1B3",104,103,125,90,135,98
"5043","GUCY2C",7,33,3,0,1,0
"5044","GUCY2D",2,0,1,0,0,0
"5045","GUCY2E",0,0,0,1,1,0
"5046","GUCY2F",0,0,0,0,0,0
"5047","GUCY2G",4,3,0,2,2,2
"5048","GUF1",437,515,528,394,411,362
"5049","GUK1",233,294,250,178,370,214
"5050","GULO",8008,4773,7974,12038,10382,6901
"5051","GULP1",23,25,18,20,27,24
"5052","GUSB",493,396,421,450,512,310
"5053","GXYLT1",417,472,454,333,661,435
"5054","GYG1",175,114,199,109,128,76
"5055","GYKL1",0,0,0,0,0,0
"5056","GYLTL1B",86,72,73,50,58,53
"5057","GYPC",222,316,395,329,265,207
"5058","GYS1",68,95,60,55,44,45
"5059","GYS2",1122,1005,958,774,1636,953
"5060","GZF1",247,335,301,161,230,178
"5061","GZMA",12,15,8,12,30,23
"5062","GZMB",3,3,3,3,2,4
"5063","GZMC",1,1,1,3,2,1
"5064","GZMF",0,0,0,0,0,0
"5065","GZMK",6,3,4,2,8,3
"5066","GZMM",6,5,14,8,27,12
"5067","GZMN",0,0,0,0,0,0
"5068","H19",55,39,21,28,13,11
"5069","H1F0",568,406,698,596,559,463
"5070","H1FNT",0,0,0,0,0,0
"5071","H1FOO",0,0,0,0,0,0
"5072","H2AFB3",0,0,0,0,0,0
"5073","H2AFJ",111,130,151,148,199,121
"5074","H2AFX",137,145,94,91,102,74
"5075","H2AFY",592,664,693,632,965,709
"5076","H2AFY2",20,42,47,26,30,26
"5077","H2AFZ",303,269,338,307,282,207
"5078","H3F3B",1482,1869,1679,1300,1476,1139
"5079","H6PD",2727,3935,2982,2117,3389,3421
"5080","HAAO",2050,2474,3037,2038,2266,1620
"5081","HABP2",2715,3407,1875,1841,2491,2203
"5082","HABP4",172,203,174,190,232,154
"5083","HACE1",183,245,202,138,293,179
"5084","HACL1",4827,2228,3850,1792,11460,12725
"5085","HADH",5783,5454,6832,5105,8569,6199
"5086","HADHA",3681,4132,3939,3061,9586,6307
"5087","HADHB",3062,3751,2696,1875,8471,6127
"5088","HAGH",2178,1554,2591,2586,2643,1676
"5089","HAL",2227,1582,2804,4194,2615,1923
"5090","HAMP",290,2468,2918,823,442,1968
"5091","HAND1",0,0,0,0,0,0
"5092","HAND2",18,15,23,8,27,25
"5093","HAO1",4366,3867,5333,6302,4592,3114
"5094","HAO2",8960,4714,4819,7227,6101,3960
"5095","HAP1",2,1,4,2,3,3
"5096","HAPLN1",0,0,0,0,0,0
"5097","HAPLN2",3,2,2,2,2,0
"5098","HAPLN3",1,1,0,1,4,3
"5099","HAPLN4",0,0,0,0,0,0
"5100","HARBI1",53,93,59,34,109,41
"5101","HARS",380,566,465,315,382,317
"5102","HARS2L",327,341,345,232,293,238
"5103","HAS1",2,0,1,1,0,2
"5104","HAS2",1,1,4,2,1,3
"5105","HAS3",0,1,1,0,1,1
"5106","HAT1",128,111,145,115,163,103
"5107","HAUS1",28,47,50,26,42,31
"5108","HAUS3",61,38,70,48,49,36
"5109","HAUS4",39,19,18,47,40,31
"5110","HAUS7",47,59,51,26,56,38
"5111","HAUS8",27,58,62,25,63,36
"5112","HAVCR1",2,0,3,0,9,6
"5113","HAVCR2",5,6,9,3,8,4
"5114","HBA-A2",3242,1685,3715,2556,2849,2345
"5115","HBB",3637,2051,4438,3117,3566,2796
"5116","HBB-B1",878,542,1123,668,852,653
"5117","HBE1",0,0,0,0,0,0
"5118","HBE2",0,0,0,0,0,0
"5119","HBEGF",5,4,2,6,14,3
"5120","HBG1",0,0,0,0,0,0
"5121","HBP1",1242,1348,1417,1003,1519,1088
"5122","HBS1L",517,579,554,466,625,461
"5123","HBXIP",344,317,363,299,379,284
"5124","HBZ",0,0,0,0,0,0
"5125","HCCS",261,358,298,178,250,200
"5126","HCFC1",510,725,628,584,877,587
